pub,v,sem,n,inv-sqrt-n
Abe 2014,-50.5,1.5,15.0,0.2581988897471611
Abriel 2001,-21.5,0.3,6.0,0.4082482904638631
Abriel 2001,-23.3,1.2,3.0,0.5773502691896258
Abriel 2001,-24.6,0.9,3.0,0.5773502691896258
Abriel 2001,-25.5,0.9,3.0,0.5773502691896258
Abriel 2001,-26.0,1.1,3.0,0.5773502691896258
Aiba 2014,-43.3,1.8,7.0,0.3779644730092272
Akai 2000,-44.1,0.3,9.0,0.3333333333333333
Albert 2008,-28.5,0.5,9.0,0.3333333333333333
Amin 2005,-36.7,2.2,10.0,0.31622776601683794
Bankston 2007a,-24.9,0.72,7.0,0.3779644730092272
Bankston 2007b,-24.8,1.3,13.0,0.2773500981126146
Baroudi 2000b,-47.24,1.7,23.0,0.20851441405707477
Baroudi 2001,-47.23,1.8,5.0,0.4472135954999579
Bebarova 2008,-31.8,1.2,16.0,0.25
Beckermann 2014,-37.3,0.6,14.0,0.2672612419124244
Beyder 2010,-33.0,9.0,6.0,0.4082482904638631
Beyder 2014,-58.2,1.0,9.0,0.3333333333333333
Bezzina 2003,-35.2,5.2,8.0,0.35355339059327373
Bezzina 2003,-39.9,4.3,4.0,0.5
Calloe 2011,-34.4,0.2,8.0,0.35355339059327373
Calloe 2011,-31.4,0.4,10.0,0.31622776601683794
Calloe 2013,-32.7,0.2,7.0,0.3779644730092272
Casini 2007,-38.6,1.0,15.0,0.2581988897471611
Chang 2004,-58.4,1.6,9.0,0.3333333333333333
Chen 2016,-45.7,0.7,14.0,0.2672612419124244
Cheng 2010,-32.2,0.8,16.0,0.25
Cheng 2010,-31.1,1.4,6.0,0.4082482904638631
Cheng 2010,-34.9,1.2,9.0,0.3333333333333333
Cheng 2010,-34.9,0.9,5.0,0.4472135954999579
Cheng 2011,-37.6,1.2,8.0,0.35355339059327373
Cheng 2011,-39.6,2.5,5.0,0.4472135954999579
Clatot 2012,-44.3,1.6,17.0,0.24253562503633297
Cordeiro 2006,-49.3,0.27,15.0,0.2581988897471611
Crotti 2012a,-50.81,1.8,33.0,0.17407765595569785
Deschenes 2000,-53.6,2.0,5.0,0.4472135954999579
Detta 2014,-40.3,0.46,11.0,0.30151134457776363
Ellinor 2008,-21.2,0.6,15.0,0.2581988897471611
Ge 2008,-35.5,1.4,13.0,0.2773500981126146
Gosselin-Badaroudine 2012,-55.33,0.86,7.0,0.3779644730092272
Groenewegen 2003a,-40.6,1.57,15.0,0.2581988897471611
Groenewegen 2003a,-38.63,3.1,8.0,0.35355339059327373
Groenewegen 2003b,-37.3,2.2,8.0,0.35355339059327373
Guetter 2013,-35.1,0.4,88.0,0.10660035817780521
Guetter 2013,-33.5,0.4,82.0,0.11043152607484653
Gui 2010a,-34.7,0.7,23.0,0.20851441405707477
Gui 2010a,-34.2,0.6,22.0,0.21320071635561041
Gui 2010b,-33.8,0.7,11.0,0.30151134457776363
Hayashi 2015,-43.8,1.7,16.0,0.25
Holst 2009,-30.4,0.6,14.0,0.2672612419124244
Hsueh 2009,-42.56,0.81,10.0,0.31622776601683794
Hu 2007,-50.81,0.18,33.0,0.17407765595569785
Hu 2015,-41.0,1.3,9.0,0.3333333333333333
Hu 2015,-41.0,2.4,13.0,0.2773500981126146
Huang 2006,-59.9,0.9,8.0,0.35355339059327373
Huang 2009,-50.34,2.06,9.0,0.3333333333333333
Itoh 2005a,-39.9,1.5,25.0,0.2
Itoh 2005b,-40.6,1.4,21.0,0.2182178902359924
Juang 2014a,-36.3,0.2,4.0,0.5
Kapplinger 2015,-35.7,0.8,10.0,0.31622776601683794
Kapplinger 2015,-40.0,0.8,9.0,0.3333333333333333
Kapplinger 2015,-40.7,0.6,8.0,0.35355339059327373
Kapplinger 2015,-37.1,1.0,12.0,0.2886751345948129
Kapplinger 2015,-37.1,1.4,13.0,0.2773500981126146
Kapplinger 2015,-33.4,1.2,15.0,0.2581988897471611
Kapplinger 2015,-37.0,1.4,13.0,0.2773500981126146
Kapplinger 2015,-35.2,1.0,11.0,0.30151134457776363
Kapplinger 2015,-38.3,0.3,9.0,0.3333333333333333
Kapplinger 2015,-35.4,1.5,14.0,0.2672612419124244
Kapplinger 2015,-36.2,1.4,11.0,0.30151134457776363
Kapplinger 2015,-30.3,1.9,15.0,0.2581988897471611
Kapplinger 2015,-34.9,1.4,13.0,0.2773500981126146
Kapplinger 2015,-34.4,1.5,15.0,0.2581988897471611
Kapplinger 2015,-37.0,1.4,13.0,0.2773500981126146
Kapplinger 2015,-35.1,2.0,11.0,0.30151134457776363
Kapplinger 2015,-30.3,1.9,15.0,0.2581988897471611
Kapplinger 2015,-37.5,1.3,6.0,0.4082482904638631
Kapplinger 2015,-39.4,1.2,8.0,0.35355339059327373
Kapplinger 2015,-38.3,1.2,18.0,0.23570226039551587
Kapplinger 2015,-36.7,1.1,15.0,0.2581988897471611
Kapplinger 2015,-37.1,1.4,13.0,0.2773500981126146
Kapplinger 2015,-34.4,1.5,15.0,0.2581988897471611
Kapplinger 2015,-37.9,1.1,8.0,0.35355339059327373
Kapplinger 2015,-37.1,1.4,13.0,0.2773500981126146
Kapplinger 2015,-36.1,1.3,10.0,0.31622776601683794
Kapplinger 2015,-35.7,1.3,15.0,0.2581988897471611
Kato 2014,-54.4,2.1,18.0,0.23570226039551587
Keller 2005,-41.0,2.3,9.0,0.3333333333333333
Keller 2006,-60.13,1.42,10.0,0.31622776601683794
Li 2009,-56.59,1.72,6.0,0.4082482904638631
Lin 2008,-54.64,0.74,7.0,0.3779644730092272
Liu 2003a,-50.41,1.32,11.0,0.30151134457776363
Lupoglazoff 2001,-47.23,1.8,19.0,0.22941573387056174
Makita 2002,-47.2,1.1,13.0,0.2773500981126146
Makita 2005,-48.1,0.9,19.0,0.22941573387056174
Makita 2008,-49.7,1.1,32.0,0.17677669529663687
Makiyama 2008,-43.61,0.79,23.0,0.20851441405707477
Marangoni 2011,-44.0,2.0,16.0,0.25
Medeiros-Domingo 2007,-43.78,1.28,5.0,0.4472135954999579
Medeiros-Domingo 2009,-38.6,0.9,15.0,0.2581988897471611
Mohler 2004,-41.8,1.0,7.0,0.3779644730092272
Mok 2003,-47.2,2.8,4.0,0.5
Moreau 2013,-47.9,1.2,13.0,0.2773500981126146
Murphy 2012,-50.9,2.3,20.0,0.22360679774997896
Nakajima 2015,-38.7,0.8,15.0,0.2581988897471611
Neu 2010,-50.9,1.7,12.0,0.2886751345948129
Nguyen 2008,-47.8,0.5,10.0,0.31622776601683794
Olesen 2012,-27.9,1.3,22.0,0.21320071635561041
Otagiri 2008,-44.4,0.7,37.0,0.1643989873053573
Pfahnl 2007,-50.0,0.4,15.0,0.2581988897471611
Rivolta 2001,-23.3,1.0,5.0,0.4472135954999579
Rook 1999,-35.9,0.3,10.0,0.31622776601683794
Rossenbacker 2004,-24.1,0.4,5.0,0.4472135954999579
Ruan 2007,-23.2,0.86,5.0,0.4472135954999579
Ruan 2010,-23.08,0.59,9.0,0.3333333333333333
Saber 2015,-24.0,2.0,6.0,0.4082482904638631
Samani 2009,-36.0,1.9,7.0,0.3779644730092272
Shirai 2002,-49.9,0.9,7.0,0.3779644730092272
Shuraih 2007,-43.4,0.3,7.0,0.3779644730092272
Shy 2014,-29.6,1.3,8.0,0.35355339059327373
Smits 2005a,-42.6,1.4,9.0,0.3333333333333333
Smits 2005b,-43.7,3.0,9.0,0.3333333333333333
Sottas 2013,-29.8,0.6,11.0,0.30151134457776363
Splawski 2002,-26.6,1.3,8.0,0.35355339059327373
Surber 2008,-31.5,1.4,27.0,0.19245008972987526
Surber 2008,-42.2,0.9,14.0,0.2672612419124244
Swan 2014,-28.0,1.2,8.0,0.35355339059327373
Tan 2001,-48.6,1.2,7.0,0.3779644730092272
Tan 2002,-40.3,0.8,13.0,0.2773500981126146
Tan 2005,-39.0,2.0,6.0,0.4082482904638631
Tan 2005,-38.0,2.0,6.0,0.4082482904638631
Tan 2005,-42.0,1.3,5.0,0.4472135954999579
Tan 2005,-41.0,1.2,8.0,0.35355339059327373
Tan 2005,-42.0,0.9,8.0,0.35355339059327373
Tan 2005,-40.0,3.9,6.0,0.4082482904638631
Tan 2005,-40.0,0.8,3.0,0.5773502691896258
Tan 2005,-39.0,2.0,4.0,0.5
Tan 2005,-39.0,2.0,4.0,0.5
Tan 2005,-42.0,1.4,8.0,0.35355339059327373
Tan 2005,-40.0,2.0,18.0,0.23570226039551587
Tan 2005,-43.0,1.0,4.0,0.5
Tan 2005,-42.0,1.2,8.0,0.35355339059327373
Tan 2005,-40.0,2.0,8.0,0.35355339059327373
Tan 2005,-41.0,0.9,4.0,0.5
Tan 2006,-46.9,1.2,8.0,0.35355339059327373
Tan 2006,-44.1,1.6,10.0,0.31622776601683794
Tarradas 2013,-32.0,0.3,18.0,0.23570226039551587
Tester 2010,-42.0,2.0,4.0,0.5
Tsurugi 2009,-39.6,1.2,8.0,0.35355339059327373
Valdivia 2004,-42.0,2.0,15.0,0.2581988897471611
Vatta 2002b,-24.9,0.4,8.0,0.35355339059327373
Viswanathan 2003,-40.7,1.4,11.0,0.30151134457776363
Wang 1996,-43.2,1.9,13.0,0.2773500981126146
Wang 2002,-47.7,1.0,16.0,0.25
Wang 2007a,-44.3,0.6,14.0,0.2672612419124244
Wang 2007b,-46.0,3.1,5.0,0.4472135954999579
Wang 2008,-44.3,0.6,14.0,0.2672612419124244
Wang 2015,-40.91,0.21,9.0,0.3333333333333333
Wang 2016,-44.5,0.8,36.0,0.16666666666666666
Watanabe 2011b,-35.4,0.6,25.0,0.2
Watanabe 2011b,-47.7,1.1,16.0,0.25
Wedekind 2001,-42.8,2.9,7.0,0.3779644730092272
Wehrens 2003,-29.8,0.4,8.0,0.35355339059327373
Winkel 2012,-26.0,2.5,17.0,0.24253562503633297
Yang 2002,-54.3,3.5,7.0,0.3779644730092272
Ye 2003,-44.0,5.0,10.0,0.31622776601683794
Ye 2003,-40.0,7.0,7.0,0.3779644730092272
Yokoi 2005,-49.8,1.3,8.0,0.35355339059327373
Young 2005,-32.7,1.3,20.0,0.22360679774997896
Zeng 2013,-34.5,1.5,8.0,0.35355339059327373
Zhang 2008,-33.1,1.0,5.0,0.4472135954999579
Zhang 2015,-28.1,1.3,15.0,0.2581988897471611
